make_standardized,model_standardized,ev_category
FORD,RA,ICE
FORD,RAMGER,ICE
FORD,RAN,ICE
FORD,RANEGR,ICE
FORD,RANER,ICE
FORD,RANFER,ICE
FORD,RANGE,ICE
FORD,RANGEE,ICE
FORD,RANGER,ICE
FORD,RANGET,ICE
FORD,RANGR,ICE
FORD,RANGRT,ICE
FORD,RAPTOR,ICE
FORD,RAPTPR,ICE
FORD,RNAGER,ICE
FORD,RNGER,ICE
FORD,SANTA,ICE
FORD,SDUTY,ICE
FORD,SEAL,BEV
FORD,SEALIO,BEV
FORD,SHELBY,ICE
FORD,SPORT,ICE
FORD,SUNCAM,ICE
FORD,SUPER,ICE
FORD,SUPERD,ICE
FORD,SUPGD,ICE
FORD,SWIFT,ICE
FORD,TANK 3,ICE
FORD,TANSIT,ICE
FORD,TIGGO,ICE
FORD,TOUARE,ICE
FORD,TOUENE,ICE
FORD,TOURNE,ICE
FORD,TR 545,ICE
FORD,TR CUS,ICE
FORD,TR TRA,ICE
FORD,TR5452,ICE
FORD,TRANIS,ICE
FORD,TRANIT,ICE
FORD,TRANSI,ICE
FORD,TRANST,ICE
FORD,TRASNI,ICE
FORD,TREMOR,ICE
FORD,TUCSON,ICE
FORD,UTE CA,ICE
FORD,VAN,ICE
FORD,VENUE,ICE
FORD,WANGER,ICE
FORD,WILDTR,ICE
FORD,XL BLA,ICE
FORD,XL DC,ICE
FORD,XLT CA,ICE
FORD,YN2SPX,ICE
FORD,YN2SSW,ICE
FORD,YNWSRR,ICE
FORD,ZRV,ICE
GAC,AION,ICE
GAC,AION U,ICE
GAC,AION V,ICE
GAC,AIONV,ICE
GAC,EMZOOM,ICE
GAC,M8,ICE
GEELY,COMPLE,ICE
GEELY,EX INS,ICE
GEELY,EX4,ICE
GEELY,EX5,ICE
GEELY,EX5 CO,ICE
GEELY,EX5 IN,ICE
GEELY,INSPIR,ICE
GEELY,INSPRE,ICE
GEELY,STARRA,ICE
GEELY,STARRY,ICE
GENESIS,CV70,ICE
GENESIS,G70,ICE
GENESIS,G80,ICE
GENESIS,GV60,ICE
GENESIS,GV70,ICE
GENESIS,GV80,ICE
GENESIS,JK GV7,ICE
GMC,3500,ICE
GMC,DENALI,ICE
GMC,ORA,BEV
GMC,RAV4,ICE
GMC,SIERRA,ICE
GMC,SILVER,ICE
GMC,YUKON,ICE
GREAT WALL,A01 HA,ICE
GREAT WALL,ALPHA,ICE
GREAT WALL,APLHA,ICE
GREAT WALL,B01 HA,ICE
GREAT WALL,BLACK,ICE
GREAT WALL,BLUMNT,ICE
GREAT WALL,BO3,ICE
GREAT WALL,CA,ICE
GREAT WALL,CANN,ICE
GREAT WALL,CANNN,ICE
GREAT WALL,CANNNO,ICE
GREAT WALL,CANNO,ICE
GREAT WALL,CANNON,ICE
GREAT WALL,CANNPN,ICE
GREAT WALL,CANON,ICE
GREAT WALL,CANONK,ICE
GREAT WALL,CANOON,ICE
GREAT WALL,CNNON,ICE
GREAT WALL,DC CCH,ICE
GREAT WALL,DC UTE,ICE
GREAT WALL,EC240V,ICE
GREAT WALL,GWM,ICE
GREAT WALL,GWM UT,ICE
GREAT WALL,H6,ICE
GREAT WALL,H6 GT,ICE
GREAT WALL,H6 HYB,ICE
GREAT WALL,H6 LUX,ICE
GREAT WALL,H6 ULT,ICE
GREAT WALL,H6 VAN,ICE
GREAT WALL,H6GT,ICE
GREAT WALL,H6GT U,ICE
GREAT WALL,H7,ICE
GREAT WALL,H7 VAN,ICE
GREAT WALL,HAVAL,ICE
GREAT WALL,HAVAL6,ICE
GREAT WALL,HAVALA,ICE
GREAT WALL,HAVAN,ICE
GREAT WALL,JAVAL,ICE
GREAT WALL,JOLION,ICE
GREAT WALL,NPW,ICE
GREAT WALL,NPW CA,ICE
GREAT WALL,NPW GW,ICE
GREAT WALL,NPX CA,ICE
GREAT WALL,NPX GW,ICE
GREAT WALL,ORA,BEV
GREAT WALL,ORA 48,BEV
GREAT WALL,ORA 5,BEV
GREAT WALL,ORA 58,BEV
GREAT WALL,ORA 63,BEV
GREAT WALL,ORA EV,BEV
GREAT WALL,ORA GT,BEV
GREAT WALL,ORA HY,BEV
GREAT WALL,ORA LU,BEV
GREAT WALL,ORA UL,BEV
GREAT WALL,ORD 5,ICE
GREAT WALL,P01 T,ICE
GREAT WALL,P01 TA,ICE
GREAT WALL,RED,ICE
GREAT WALL,TABJ 5,ICE
GREAT WALL,TANK,ICE
GREAT WALL,TANK 3,ICE
GREAT WALL,TANK 5,ICE
GREAT WALL,TANK H,ICE
GREAT WALL,TANK P,ICE
GREAT WALL,TANK U,ICE
GREAT WALL,TANK30,ICE
GREAT WALL,TANK50,ICE
GREAT WALL,TK500,ICE
GREAT WALL,TNK300,ICE
GREAT WALL,TNK500,ICE
GREAT WALL,UTE,ICE
GREAT WALL,UTE AL,ICE
GREAT WALL,UTE CA,ICE
GREAT WALL,UTE DC,ICE
GREAT WALL,UTE XS,ICE
GREAT WALL,VANTA,ICE
GREAT WALL,XSR,ICE
HAVAL,,ICE
HAVAL,2024,ICE
HAVAL,A01 HA,ICE
HAVAL,ALPHA,ICE
HAVAL,B01,ICE
HAVAL,B01 HA,ICE
HAVAL,B16,ICE
HAVAL,CANNON,ICE
HAVAL,GT,ICE
HAVAL,H,ICE
HAVAL,H6,ICE
HAVAL,H6 FAC,ICE
HAVAL,H6 G T,ICE
HAVAL,H6 GT,ICE
HAVAL,H6 HEV,BEV
HAVAL,H6 HYB,ICE
HAVAL,H6 LUX,ICE
HAVAL,H6 PHE,ICE
HAVAL,H6 PRE,ICE
HAVAL,H6 U P,ICE
HAVAL,H6 ULT,ICE
HAVAL,H6 UTR,ICE
HAVAL,H6 VAN,ICE
HAVAL,H6GT,ICE
HAVAL,H6GT L,ICE
HAVAL,H6GT P,ICE
HAVAL,H6GT U,ICE
HAVAL,H6GTUL,ICE
HAVAL,H6ULTR,ICE
